Time,device_frmpayload_data_rainfall
2023-12-17 22:50:34,200 µm
2023-12-17 23:02:34,200 µm
2023-12-17 23:11:34,0 mm
2023-12-17 23:17:34,200 µm
2023-12-17 23:26:34,0 mm
2023-12-17 23:29:34,200 µm
2023-12-17 23:32:34,200 µm
2023-12-17 23:35:34,200 µm
2023-12-17 23:38:34,200 µm
2023-12-17 23:44:34,0 mm
2023-12-17 23:47:34,0 mm
2023-12-17 23:50:34,0 mm
2023-12-17 23:53:34,0 mm
2023-12-17 23:56:34,0 mm
2023-12-17 23:59:34,0 mm
2023-12-18 00:02:34,0 mm
2023-12-18 00:05:34,0 mm
2023-12-18 00:08:34,0 mm
2023-12-18 00:11:33,0 mm
2023-12-18 00:14:33,0 mm
2023-12-18 00:17:33,0 mm
2023-12-18 00:20:33,0 mm
2023-12-18 00:23:33,200 µm
2023-12-18 00:26:33,0 mm
2023-12-18 00:35:33,200 µm
2023-12-18 00:41:33,0 mm
2023-12-18 00:44:33,0 mm
2023-12-18 00:50:33,0 mm
2023-12-18 00:56:34,200 µm
2023-12-18 00:59:33,0 mm
2024-01-05 04:01:55,0 mm
2024-01-05 04:04:55,0 mm
2024-01-05 04:07:55,0 mm
2024-01-05 04:10:55,0 mm
2024-01-05 04:13:55,0 mm
2024-01-05 04:16:55,0 mm
2024-01-05 04:22:55,0 mm
2024-01-05 04:25:55,0 mm
2024-01-05 04:28:55,0 mm
2024-01-05 04:31:55,0 mm
2024-01-05 04:34:55,0 mm
2024-01-05 04:37:55,0 mm
2024-01-05 04:40:55,0 mm
2024-01-05 04:43:55,0 mm
2024-01-05 04:46:55,0 mm
2024-01-05 04:49:55,0 mm
2024-01-05 04:52:55,0 mm
2024-01-05 05:31:55,200 µm
2024-01-05 05:40:55,200 µm
2024-01-05 05:43:55,200 µm
2024-01-05 05:46:55,200 µm
2024-01-05 05:49:55,200 µm
2024-01-05 05:52:55,200 µm
2024-01-05 05:55:55,200 µm
2024-01-05 05:58:55,400 µm
2024-01-05 06:01:55,200 µm
2024-01-05 06:04:55,200 µm
2024-01-05 06:07:55,200 µm
2024-01-05 06:10:55,200 µm
2024-01-05 06:13:55,200 µm
2024-01-05 06:19:55,200 µm
2024-01-05 06:25:55,200 µm
2024-01-05 06:37:55,0 mm
2024-01-05 06:40:55,0 mm
2024-01-05 06:49:55,0 mm
2024-01-05 06:52:55,0 mm
2024-01-05 06:55:55,0 mm
2024-01-05 06:58:55,0 mm
2024-01-05 07:01:55,0 mm
2024-01-05 07:04:55,0 mm
2024-01-05 07:07:55,0 mm
2024-01-05 07:10:55,0 mm
2024-01-05 07:13:55,0 mm
2024-01-05 07:16:55,0 mm
2024-01-05 07:19:55,0 mm
2024-01-05 07:22:55,0 mm
2024-01-05 07:25:55,0 mm
2024-01-05 07:28:55,0 mm
2024-01-05 07:31:55,0 mm
2024-01-05 07:34:55,0 mm
2024-01-05 07:37:55,0 mm
2024-01-05 07:40:55,0 mm
2024-01-05 07:46:55,0 mm
2024-01-05 07:49:55,0 mm
2024-01-05 07:52:55,0 mm
2024-01-05 07:55:55,0 mm
2024-01-05 07:58:55,0 mm
2024-04-23 17:00:44,0 mm
2024-04-23 17:03:44,0 mm
2024-04-23 17:06:44,0 mm
2024-04-23 17:09:44,0 mm
2024-04-23 17:12:44,0 mm
2024-04-23 17:15:44,0 mm
2024-04-23 17:21:44,3 mm
2024-04-23 17:24:44,9 mm
2024-04-23 17:27:44,4.8 mm
2024-04-23 17:30:44,1.2 mm
2024-04-23 17:36:44,0 mm
2024-04-23 17:39:44,0 mm
2024-04-23 17:42:44,0 mm
2024-04-23 17:45:44,0 mm
2024-04-23 17:48:44,0 mm
2024-04-23 17:51:44,0 mm
2024-04-23 17:54:44,0 mm
2024-04-23 18:00:44,0 mm
2024-04-23 18:03:44,0 mm
2024-04-23 18:06:44,0 mm
2024-04-23 18:09:44,0 mm
2024-04-23 18:12:44,0 mm
2024-04-23 18:15:44,0.6 mm
2024-04-23 18:36:44,0 mm
2024-04-23 18:39:44,0 mm
2024-04-23 18:42:44,0 mm
2024-04-23 18:45:44,0 mm
2024-04-23 18:48:44,0 mm
2024-04-23 18:51:44,0 mm
2024-04-23 18:54:44,0 mm
2024-04-23 18:57:44,0 mm
2024-04-24 18:00:44,0 mm
2024-04-24 18:03:44,0 mm
2024-04-24 18:06:44,0 mm
2024-04-24 18:09:44,0 mm
2024-04-24 18:12:44,0 mm
2024-04-24 18:18:44,2.4 mm
2024-04-24 18:21:44,1.2 mm
2024-04-24 18:24:44,1.2 mm
2024-04-24 18:27:44,1.2 mm
2024-04-24 18:30:44,0.6 mm
2024-04-24 18:33:44,0.6 mm
2024-04-24 18:36:44,0 mm
2024-04-24 18:39:44,0 mm
2024-04-24 18:45:44,0.6 mm
2024-04-24 18:48:44,0.6 mm
2024-04-24 18:54:44,0 mm
2024-04-24 18:57:44,0 mm
2024-04-27 18:30:02,0 mm
2024-04-27 18:33:02,1.2 mm
2024-04-27 18:42:02,1.2 mm
2024-04-27 18:45:02,1.8 mm
2024-04-27 18:48:02,0.6 mm
2024-04-27 18:51:02,0 mm
2024-04-27 18:54:02,0 mm
2024-04-30 15:00:02,0 mm
2024-04-30 15:03:02,0 mm
2024-04-30 15:06:02,0 mm
2024-04-30 15:18:02,0.6 mm
2024-04-30 15:24:02,0.6 mm
2024-04-30 15:30:02,2.4 mm
2024-04-30 15:33:02,5.4 mm
2024-04-30 15:36:02,3.6 mm
2024-04-30 15:39:02,1.8 mm
2024-04-30 15:42:02,1.2 mm
2024-04-30 15:48:02,3 mm
2024-04-30 15:51:02,4.8 mm
2024-04-30 15:54:02,1.2 mm
2024-04-30 15:57:02,0.6 mm
2024-04-30 16:03:02,0.6 mm
2024-04-30 16:06:02,0 mm
2024-05-11 17:15:07,0 mm
2024-05-11 17:18:07,7.8 mm
2024-05-11 17:21:07,13.2 mm
2024-05-11 17:24:07,9 mm
2024-05-11 17:27:07,4.8 mm
2024-05-11 17:30:07,3 mm
2024-05-11 17:33:07,1.8 mm
2024-05-11 17:36:07,4.2 mm
2024-05-11 17:39:07,4.2 mm
2024-05-11 17:42:07,4.8 mm
2024-05-11 17:45:07,4.8 mm
2024-05-11 17:48:07,4.2 mm
2024-05-11 17:51:07,3.6 mm
2024-05-11 17:54:07,3 mm
2024-05-11 17:57:07,1.2 mm
2024-05-11 18:00:07,1.2 mm
2024-05-11 18:06:07,0.6 mm
2024-05-11 18:09:07,0 mm
2024-05-12 17:36:07,1.2 mm
2024-05-12 17:39:07,0.6 mm
2024-05-12 18:09:07,0.6 mm
2024-05-14 14:23:28,1.2 mm
2024-05-14 14:26:28,0.6 mm
2024-05-14 14:29:28,1.8 mm
2024-05-14 14:32:28,1.2 mm
2024-05-14 14:35:28,0.6 mm
2024-05-14 14:41:28,0.6 mm
2024-05-15 14:20:28,2.4 mm
2024-05-15 14:23:28,1.8 mm
2024-05-15 14:26:28,0.6 mm
2024-05-15 14:29:28,0 mm
2024-05-15 14:32:28,0.6 mm
2024-05-15 14:41:28,1.2 mm
2024-05-15 14:44:28,0.6 mm
2024-05-15 14:47:28,0 mm
2024-05-15 14:50:28,0.6 mm
2024-05-15 14:53:28,0 mm
2024-05-15 14:56:28,0 mm
